"wallet_name_raw";"wallet_type";"address";"blockchain";"currency";"amount";"price";"value";"cost_brl";"irpf_description"
"Phantom (Principal) - Polygon (MATIC)";"Wallet";"";"None";"USDC";2.148418;6.2;13.31;35.31;"SALDO DE 2,148418 USDC CUSTODIADO NA CARTEIRA PHANTOM NA REDE POLYGON EM 31/12/2024."
"Phantom (Principal) - Polygon (MATIC)";"Wallet";"";"None";"SFL";0.818245312;0.29;0.23;0.46;"SALDO DE 0,81824531 SFL CUSTODIADO NA CARTEIRA PHANTOM NA REDE POLYGON EM 31/12/2024."
"Phantom (Principal) - Polygon (MATIC)";"Wallet";"";"None";"MATIC";0.017996884;2.81;0.05;0.06;"SALDO DE 0,01799688 MATIC CUSTODIADO NA CARTEIRA PHANTOM NA REDE POLYGON EM 31/12/2024."
"Phantom (Principal) - Solana (SOL)";"Wallet";"";"None";"BILLY";19887.333743;0.12;2394.78;13428.77;"SALDO DE 19887,333743 BILLY CUSTODIADO NA CARTEIRA PHANTOM NA REDE SOLANA EM 31/12/2024."
"Phantom (Principal) - Solana (SOL)";"Wallet";"";"None";"GRASS";119.426246669;15.49;1849.55;1965.02;"SALDO DE 119,42624667 GRASS CUSTODIADO NA CARTEIRA PHANTOM NA REDE SOLANA EM 31/12/2024."
"Phantom (Principal) - Solana (SOL)";"Wallet";"";"None";"JITOSOL";0.091978058;1378.24;126.77;87.77;"SALDO DE 0,09197806 JITOSOL CUSTODIADO NA CARTEIRA PHANTOM NA REDE SOLANA EM 31/12/2024."
"Phantom (Principal) - Solana (SOL)";"Wallet";"";"None";"SOL";0.077802611;1182.03;91.96;137.95;"SALDO DE 0,07780261 SOL CUSTODIADO NA CARTEIRA PHANTOM NA REDE SOLANA EM 31/12/2024."
"Phantom (Principal) - Solana (SOL)";"Wallet";"";"None";"SLERF";71.670114511;1.05;75.48;170.88;"SALDO DE 71,67011451 SLERF CUSTODIADO NA CARTEIRA PHANTOM NA REDE SOLANA EM 31/12/2024."
"Phantom (Principal) - Solana (SOL)";"Wallet";"";"None";"JUP";10.621846;5.16;54.76;78.52;"SALDO DE 10,621846 JUP CUSTODIADO NA CARTEIRA PHANTOM NA REDE SOLANA EM 31/12/2024."
"Trust Wallet - Binance Smart Chain (BNB)";"Exchange";"";"Exchange";"BNB";0.0310324758;4393.28;136.33;98.71;"SALDO DE 0,03103248 BNB CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Trust Wallet - Binance Smart Chain (BNB)";"Exchange";"";"Exchange";"BABYDOGE";6390805218.374632;0.0;127.82;174.75;"SALDO DE 6390805218,37463188 BABYDOGE CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Trust Wallet - Binance Smart Chain (BNB)";"Exchange";"";"Exchange";"ONS";1260.5505043142;0.0;0.0;0.0;"SALDO DE 1260,55050431 ONS CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
